Proposition	A statement that is either true or false. The basic building block of propositional logic.
Knowledge Base (KB)	A set of facts and rules an agent uses for reasoning about the world.
Inference	The process of deriving new statements from known statements using logical rules.
Entailment (KB ⊨ phi)	phi is true in every model where the knowledge base is true. It is a semantic relationship, not a proof procedure.
Provability (KB ⊢ phi)	phi can be derived from the knowledge base using formal inference rules. It is a syntactic relationship.
Soundness	If a system can prove a statement, then that statement is actually true. No false conclusions are ever derived. (KB ⊢ phi implies KB ⊨ phi)
Completeness	If a statement is true, the system can prove it. All true conclusions are derivable. (KB ⊨ phi implies KB ⊢ phi)
Validity	A formula that is true in every possible model, regardless of variable assignments. Also called a tautology.
Satisfiability	A formula is satisfiable if it is true in at least one model. It is unsatisfiable if true in no model.
CNF (Conjunctive Normal Form)	A logical formula expressed as an AND of OR-clauses. Required format for applying resolution.
Resolution	An inference rule that derives new clauses by combining complementary literals. Used in proof by contradiction — if the empty clause is derived, entailment is proven.
Steps to convert to CNF	1) Eliminate implications and biconditionals. 2) Push negations inward (DeMorgan's laws + double negation). 3) Distribute OR over AND. 4) Remove tautological clauses.
How to prove entailment by resolution	Negate the query, add it to the KB in CNF, then repeatedly resolve clauses. Deriving the empty clause proves the entailment.
DeMorgan's Laws	not(A and B) = (not A) or (not B). not(A or B) = (not A) and (not B). Used to push negations inward during CNF conversion.
Implication elimination	A => B is equivalent to (not A) or B. This is the first step in converting to CNF.
Common trap: implication vs equivalence	A => B does NOT mean B => A. Implication is one-directional. Biconditional (A <=> B) means both directions hold.
Predicate (FOL)	A relation or property applied to objects, e.g., Student(x) says x is a student. Predicates give first-order logic its expressive power over propositional logic.
Universal quantifier (forall)	"For all objects in the domain." Used with implication: "All A are B" becomes forall x (A(x) => B(x)).
Existential quantifier (exists)	"There exists at least one object." Used with conjunction: "Some A are B" becomes exists x (A(x) and B(x)).
Why quantifier order matters	forall x exists y is NOT the same as exists y forall x. "Everyone loves someone" (each person may love a different person) differs from "There is someone loved by everyone" (one specific person).
FOL translation: "All A are B"	forall x (A(x) => B(x))
FOL translation: "Some A are B"	exists x (A(x) and B(x))
FOL translation: "No A are B"	forall x (A(x) => not B(x)), or equivalently not exists x (A(x) and B(x))
Common FOL mistake: "All" with AND	"All dogs are animals" is forall x (Dog(x) => Animal(x)), NOT forall x (Dog(x) AND Animal(x)). Using AND would say everything in the domain is both a dog and an animal.
Unification	Finding variable substitutions that make two logical expressions identical so inference rules like resolution can be applied.
Substitution	Replacing variables with specific terms (constants or other variables) during unification or inference.
Forward Chaining	Data-driven inference: start from known facts and repeatedly apply rules to derive new facts until the goal is reached or no more facts can be derived.
Backward Chaining	Goal-driven inference: start from the query and work backward, checking which rules and facts could establish it. More focused than forward chaining.
State Space	The set of all possible states reachable in a search problem.
Initial State	The starting state of the agent in a search problem.
Goal Test	A condition or function used to determine whether a given state is a solution.
Successor Function	Rules defining how to generate the next states from a current state. Defines the edges in the state space graph.
Path Cost (g(n))	The total accumulated cost from the start state to node n along the current path.
Branching Factor (b)	The average number of successors per state. Determines how quickly the search tree grows.
Solution Depth (d)	The depth of the shallowest goal node in the search tree.
Maximum Depth (m)	The maximum depth of any node in the search tree. Relevant for DFS worst-case analysis.
BFS (Breadth-First Search)	Expands shallowest nodes first. Complete and optimal with unit or monotone edge costs. Time and space both O(b^d). Best for shallow solutions.
DFS (Depth-First Search)	Expands deepest nodes first. Uses very low memory O(bm) but is not complete in infinite-depth spaces and not optimal. Best when memory is severely limited.
UCS (Uniform Cost Search)	Expands the node with the lowest path cost g(n). Complete and optimal with positive step costs. Strictly necessary when edge costs are non-uniform.
IDS (Iterative Deepening Search)	Repeated depth-limited DFS with increasing depth limits. Combines BFS-level completeness and optimality (unit costs) with DFS-level memory O(bd). Ideal when solution depth is unknown.
When IDS fails to be optimal	IDS guarantees optimality only with unit step costs. With varying edge costs, it may return a shallower but costlier solution, so UCS would be preferred.
Why IDS is not "strictly better than BFS in every case"	IDS relies on unit step costs for optimality. When edges have varying costs, BFS (or UCS) may find the optimal solution while IDS does not. Algorithm choice should match problem structure.
A* Search	Expands nodes by f(n) = g(n) + h(n). Optimal when the heuristic is admissible (tree search) or consistent (graph search). Often the best choice when a good heuristic is available.
A* main practical limitation	Memory. A* stores many frontier and explored nodes, which can become prohibitive on large problems.
IDA* (Iterative Deepening A*)	Iterative deepening using f-cost thresholds instead of depth. Gets A*-style optimality with DFS-level memory, but re-expands nodes across iterations.
Greedy Best-First Search	Expands the node with the lowest heuristic value h(n). Often fast but not optimal because it ignores the path cost g(n).
Beam Search	Keeps only the top k nodes at each level. Fast and memory-efficient but can prune the optimal path. Neither complete nor optimal.
